param,value,seed,model,edges,sd,sc,shd,fpr,tpr,f1,tp,mcc,shd-nm,f1_bin_bin,f1_bin_cont,precision_bin_bin,precision_bin_cont,recall_bin_bin,recall_bin_cont
n_samples,500,4,gaussian,mut_0->mut_6;mut_0->mut_7;mut_5->Y;mut_5->mut_7;mut_6->Y;mut_7->Y,0.37777777777777777,0.6002645502645503,0.3333333333333333,0.022727272727272728,0.3333333333333333,0.4444444444444444,4,0.4250131159402673,0.0011534025374855825,0.11764705882352941,1.0,0.3333333333333333,1.0,0.07142857142857142,1.0
n_samples,500,4,logistic,mut_3->mut_4;mut_5->Y;mut_5->mut_8;mut_6->Y;mut_6->mut_3;mut_7->Y;mut_7->mut_8,0.4222222222222222,0.5452910052910053,0.26666666666666666,0.011363636363636364,0.4166666666666667,0.5555555555555556,5,0.5545902854342513,0.000922722029988466,0.3333333333333333,1.0,0.75,1.0,0.21428571428571427,1.0
n_samples,500,5,gaussian,mut_0->Y;mut_0->mut_8;mut_3->mut_2;mut_4->Y;mut_5->mut_6;mut_8->Y,0.7333333333333333,0.742010582010582,0.4666666666666667,0.02247191011235955,0.2727272727272727,0.375,3,0.3592757739812098,0.0010582010582010583,0.0,1.0,0.0,1.0,0.0,1.0
n_samples,500,5,logistic,mut_0->Y;mut_0->mut_7;mut_1->mut_7;mut_3->mut_0;mut_3->mut_1;mut_3->mut_7;mut_3->mut_8;mut_4->Y;mut_5->mut_6;mut_8->Y;mut_8->mut_1,0.6,0.506084656084656,0.26666666666666666,0.011235955056179775,0.6363636363636364,0.7368421052631579,7,0.7209765993008043,0.0006046863189720333,0.5384615384615385,1.0,0.875,1.0,0.3888888888888889,1.0
n_samples,500,6,gaussian,mut_2->mut_1;mut_3->mut_5;mut_3->mut_8;mut_4->mut_1;mut_5->mut_1,0.5555555555555556,0.45185185185185184,0.35555555555555557,0.02197802197802198,0.0,0.0,0,-0.04492649300236792,0.00210387902695595,0.1111111111111111,0.0,0.2,0.0,0.07692307692307693,0.0
n_samples,500,6,logistic,mut_4->mut_3;mut_5->mut_6;mut_6->mut_8;mut_7->Y;mut_7->mut_5,0.4666666666666667,0.46629629629629626,0.3111111111111111,0.01098901098901099,0.2222222222222222,0.3333333333333333,2,0.35437057866279753,0.0018408941485864563,0.23529411764705882,0.0,0.5,0.0,0.15384615384615385,0.0
n_samples,500,7,gaussian,mut_1->mut_4;mut_3->Y;mut_5->mut_2;mut_6->Y;mut_7->mut_3,0.5333333333333333,0.585952380952381,0.3333333333333333,0.010638297872340425,0.3333333333333333,0.4444444444444444,2,0.4492471612253934,0.0017006802721088435,0.0,1.0,0.0,1.0,0.0,1.0
n_samples,500,7,logistic,mut_3->Y;mut_3->mut_6;mut_4->mut_5;mut_6->Y;mut_7->mut_0;mut_7->mut_1;mut_7->mut_3;mut_8->mut_2,0.4,0.4081746031746032,0.26666666666666666,0.010638297872340425,0.5,0.6,3,0.5930672165988062,0.0013605442176870747,0.3333333333333333,1.0,0.5,1.0,0.25,1.0
n_samples,500,8,gaussian,mut_1->mut_0;mut_1->mut_5;mut_1->mut_7;mut_4->mut_5;mut_4->mut_7;mut_5->mut_7,0.28888888888888886,0.4000000000000001,0.24444444444444444,0.03225806451612903,0.2857142857142857,0.3333333333333333,2,0.2967198802971756,0.003017832647462277,0.26666666666666666,0.0,0.3333333333333333,0.0,0.2222222222222222,0.0
n_samples,500,8,logistic,mut_2->mut_0;mut_3->mut_1;mut_3->mut_7;mut_4->mut_5;mut_4->mut_8,0.26666666666666666,0.3685185185185185,0.17777777777777778,0.010752688172043012,0.2857142857142857,0.4,2,0.4112595937738128,0.0021947873799725653,0.42857142857142855,0.0,0.6,0.0,0.3333333333333333,0.0
n_samples,500,9,gaussian,mut_0->mut_1;mut_0->mut_2,0.6444444444444445,0.619074074074074,0.4,0.021739130434782608,0.0,0.0,0,-0.04212627318711346,0.0015625,0.0,0.0,0.0,0.0,0.0,0.0
