split,k,mu_index,mu_rel,cv_auc,cv_log_loss,cv_stability
2,4,10,18.73817422860385,0.7175488816549407,0.6041290959438069,0.9
2,4,11,43.287612810830616,0.7175488816549407,0.6041290959438069,0.9
2,4,12,100.0,0.7175488816549407,0.6041290959438069,0.9
2,6,0,0.0,0.7772019121625336,0.5663411433859178,0.8285714285714286
2,6,1,0.01,0.7772019121625336,0.5663411433859178,0.8285714285714286
2,6,2,0.023101297000831605,0.7772019121625336,0.5663411433859178,0.8285714285714286
2,6,3,0.0533669923120631,0.7772019121625336,0.5663411465795816,0.8285714285714286
2,6,4,0.1232846739442066,0.773002684513898,0.5704748759151641,0.6
2,6,5,0.2848035868435802,0.774680849300762,0.568881374549884,0.8
2,6,6,0.6579332246575682,0.768077765181469,0.5749702700978012,0.8857142857142856
2,6,7,1.5199110829529334,0.7556565279477327,0.5835574790792756,0.8666666666666666
2,6,8,3.511191734215131,0.7455092840034261,0.5926889721411308,0.40476190476190477
2,6,9,8.111308307896872,0.7427088166779889,0.5942501034437342,0.6130952380952381
2,6,10,18.73817422860385,0.7228041433521849,0.6026917786312611,0.6666666666666666
2,6,11,43.287612810830616,0.7228041433521849,0.6026917786312611,0.6666666666666666
2,6,12,100.0,0.7223701943236603,0.604715376480885,0.5482142857142858
2,8,0,0.0,0.78188899413593,0.561706501990263,0.6642424242424243
2,8,1,0.01,0.78188899413593,0.5617065019902245,0.6642424242424243
2,8,2,0.023101297000831605,0.78188899413593,0.5617065019902245,0.6642424242424243
2,8,3,0.0533669923120631,0.7822815175004161,0.5618089160964057,0.6420202020202019
2,8,4,0.1232846739442066,0.7770601486840667,0.5667454880188697,0.8400000000000001
2,8,5,0.2848035868435802,0.7758645542013929,0.5678629972470849,0.7499999999999999
2,8,6,0.6579332246575682,0.7724144866599374,0.571872976114685,0.711111111111111
2,8,7,1.5199110829529334,0.7684088847552041,0.5747903215487289,0.8464285714285715
2,8,8,3.511191734215131,0.7545070695294814,0.586133566089994,0.5616666666666668
2,8,9,8.111308307896872,0.7466066272776043,0.5913102258932165,0.95
2,8,10,18.73817422860385,0.7466066272776043,0.591310225893216,0.95
2,8,11,43.287612810830616,0.7466066272776043,0.5913102258932161,0.95
